"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/Game/Assets/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","0","90","90","6","101.153969","0","90"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_Default.M_Default","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","36","36","2","0.000000","0","36"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","0.000000","0","63"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","0.000000","0","100"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","110","120","6","0.000000","0","120"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","25.258768","0","50"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","0.000000","0","9"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","0.000000","0","2"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","0.000000","0","9"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.000000","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","0.000000","0","3"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","0.000000","0","63"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","0.000000","0","36"
"/CameraCalibrationCore/Materials/M_DefaultOddSquare.M_DefaultOddSquare","0","4","4","1","0.000000","0","4"
"/CameraCalibrationCore/Materials/M_DefaultEvenSquare.M_DefaultEvenSquare","0","4","4","1","0.000000","0","4"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","75","75","1","20.422642","0","75"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","1.648490","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","0.850757","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","0.759608","0","5"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","0.844552","0","5"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","1.452774","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","2.811049","0","6"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","4.461543","0","6"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","9.326561","0","12"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","0.996829","0","5"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.SculptMaterial","0","6","7","1","3.752200","0","7"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","1.316512","0","7"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","0.828041","0","5"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","0.854208","0","5"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","5.688196","0","10"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","37","37","1","0.727253","0","37"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","10.051851","0","14"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","0.755011","0","5"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","4.275684","0","9"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","3.368910","0","6"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","4.639867","0","6"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","6","7","1","6.217018","0","7"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","4.658175","0","9"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","0","5","5","1","2.632976","0","5"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","0","5","5","1","2.780669","0","5"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","14","1","6.316032","0","14"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","4.326786","0","6"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","5.131255","0","6"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","3.787641","0","6"
"/Game/Assets/MarketplaceBlockout/Modern/Weapons/Materials/MasterMaterials/MM_Modern_Weapons_Textured.MM_Modern_Weapons_Textured","0","6","6","1","4.843803","0","6"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","90","90","1","7.073830","0","90"
"/Game/Assets/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_Foliage_Master.M_LearningKit_Foliage_Master","0","24","24","2","10.734157","0","24"
"/Game/Assets/ParagonDekker/FX/Materials/Hero_Specific/M_Dekker_Weapon_Bot.M_Dekker_Weapon_Bot","0","36","42","1","61.437214","36","126"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","2.385177","0","5"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","8.115461","0","9"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.726629","0","2"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","1.818581","0","2"
"/Game/Assets/LearningKit_Games/Assets/Characters/Character/Material/M_EpicCharacter_Optimized.M_EpicCharacter_Optimized","0","6","6","1","6.399632","0","6"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","31","31","1","14.151532","0","31"
"/Game/Assets/LearningKit_Games/Assets/Characters/Character/Material/M_EpicCharacter_Dissolve.M_EpicCharacter_Dissolve","0","28","32","1","31.546610","0","32"
"/Game/Assets/LearningKit_Games/Assets/VFX/Pollen/M_vfx_aura.M_vfx_aura","0","60","60","2","38.866302","0","60"
"/Game/Assets/ParagonDekker/FX/Materials/Tech/M_Spline_Light_Scanner.M_Spline_Light_Scanner","0","14","14","1","9.126133","0","14"
"/Game/Assets/ParagonDekker/FX/Materials/Flares/M_Lensflare_TB_SoftGlow.M_Lensflare_TB_SoftGlow","0","15","15","1","9.717336","0","15"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Ember_Speed_01.M_Ember_Speed_01","0","15","15","1","9.428131","0","15"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","1.574925","0","25"
"/Game/Assets/ParagonDekker/FX/Materials/Flares/M_Lensflare_TB_Soft.M_Lensflare_TB_Soft","0","15","15","1","9.501761","0","15"
"/Game/Assets/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_ParticleMaskedFade.M_ParticleMaskedFade","0","20","20","1","13.816101","0","20"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Pistol_Smoke_2x2_A.M_Pistol_Smoke_2x2_A","0","24","24","1","20.240637","0","24"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Pistol_Streaks_01.M_Pistol_Streaks_01","0","15","15","1","6.505645","0","15"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_SmokeRibbon_01.M_SmokeRibbon_01","0","16","16","1","14.030062","0","16"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_GlowSphere_01.M_GlowSphere_01","0","20","20","1","12.767727","0","20"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Smoke_8x8_B_01.M_Smoke_8x8_B_01","0","24","24","1","21.420914","0","24"
"/Game/Assets/ParagonDekker/FX/Materials/Trails/M_Bullet_Trail.M_Bullet_Trail","0","14","14","1","11.028618","0","14"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","0","78","90","1","56.718353","0","90"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","10.451080","0","16"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","2.382370","1","5"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","8.180252","0","14"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Explosion_8x8_A_01.M_Explosion_8x8_A_01","0","24","24","1","22.256050","0","24"
"/Game/Assets/FX/RocketTrail/M_TrailSmoke.M_TrailSmoke","0","16","16","1","15.288605","0","16"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Pistol_MuzzleFlash_4x1_A.M_Pistol_MuzzleFlash_4x1_A","0","15","15","1","8.731247","0","15"
"/Game/Assets/MilitaryWeapSilver/Weapons/Materials/M_WeaponMaster_01.M_WeaponMaster_01","0","6","6","1","5.579155","0","6"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Debris_Tileable_01.M_Debris_Tileable_01","0","24","24","1","18.804283","0","24"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_RockSmall_01.M_RockSmall_01","0","15","15","1","0.000000","0","15"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Shockwave_Refraction_01.M_Shockwave_Refraction_01","0","21","21","1","10.354417","0","21"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_LightRay_01.M_LightRay_01","0","15","15","1","9.908441","0","15"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_SparksImpact_2x2_01.M_SparksImpact_2x2_01","0","15","15","1","0.000000","0","15"
"/Game/Assets/FX/SmokeBeam/M_Beam.M_Beam","0","16","16","1","12.770291","0","16"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","1.834390","0","2"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","31.449892","0","24"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","609","0","1","0.000000","0","0"
"Globals","49","15774","0","1","0.000000","0","0"
"/Game/Assets/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","49","210","210","6","339.446747","27","210"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","166","184","6","0.000000","0","184"
"/Game/Assets/ParagonDekker/FX/Materials/Hero_Specific/M_Dekker_Weapon_Bot.M_Dekker_Weapon_Bot","49","47","53","1","62.827705","47","159"
"/Game/Assets/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_Foliage_Master.M_LearningKit_Foliage_Master","49","60","60","2","27.662060","0","60"
"VFX_Pollen","49","2","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_Default.M_Default","49","166","184","6","0.000000","0","184"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","0.000000","0","54"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","158","168","6","0.000000","0","168"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","1817","1840","1","223.418381","0","0"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","49","10","10","1","6.039098","0","10"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","3.438215","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","81","86","6","36.217262","3","86"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","22","24","1","12.409098","0","24"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","22","22","1","15.515971","0","22"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","58","64","2","0.000000","0","64"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","49","20","20","2","11.481345","0","20"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Explosion_8x8_A_01.M_Explosion_8x8_A_01","49","29","29","1","22.019176","0","29"
"/Game/Assets/FX/RocketTrail/M_TrailSmoke.M_TrailSmoke","49","24","24","1","19.347815","0","24"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Pistol_Smoke_2x2_A.M_Pistol_Smoke_2x2_A","49","29","29","1","17.180330","0","29"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Pistol_MuzzleFlash_4x1_A.M_Pistol_MuzzleFlash_4x1_A","49","20","20","1","7.892061","0","20"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Pistol_Streaks_01.M_Pistol_Streaks_01","49","20","20","1","8.400391","0","20"
"/Game/Assets/MilitaryWeapSilver/Weapons/Materials/M_WeaponMaster_01.M_WeaponMaster_01","49","11","11","1","4.774748","0","11"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Debris_Tileable_01.M_Debris_Tileable_01","49","29","29","1","15.683296","0","29"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_RockSmall_01.M_RockSmall_01","49","20","20","1","0.000000","0","20"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_SmokeRibbon_01.M_SmokeRibbon_01","49","21","21","1","17.949528","0","21"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Shockwave_Refraction_01.M_Shockwave_Refraction_01","49","26","26","1","12.030012","0","26"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","66","66","1","3.282768","0","66"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_LightRay_01.M_LightRay_01","49","20","20","1","10.861938","0","20"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_GlowSphere_01.M_GlowSphere_01","49","25","25","1","12.835792","0","25"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_SparksImpact_2x2_01.M_SparksImpact_2x2_01","49","20","20","1","0.000000","0","20"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Ember_Speed_01.M_Ember_Speed_01","49","20","20","1","9.015432","0","20"
"/Game/Assets/MilitaryWeapSilver/FX/Materials/M_Smoke_8x8_B_01.M_Smoke_8x8_B_01","49","29","29","1","18.860909","0","29"
"/Game/Assets/FX/SmokeBeam/M_Beam.M_Beam","49","21","21","1","11.859158","0","21"
"/Game/Assets/LearningKit_Games/Assets/VFX/Dependencies/Materials/M_ParticleMaskedFade.M_ParticleMaskedFade","49","33","33","1","18.369951","0","33"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","44","48","1","0.000000","0","48"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","44","48","1","0.000000","0","48"
"/Game/Assets/LearningKit_Games/Assets/VFX/Pollen/M_vfx_aura.M_vfx_aura","49","76","76","2","44.230331","0","76"
"/Game/Assets/ParagonDekker/FX/Materials/Flares/M_Lensflare_TB_Soft.M_Lensflare_TB_Soft","49","20","20","1","11.709400","0","20"
"/Game/Assets/ParagonDekker/FX/Materials/Tech/M_Spline_Light_Scanner.M_Spline_Light_Scanner","49","19","19","1","9.280927","0","19"
"/Game/Assets/ParagonDekker/FX/Materials/Flares/M_Lensflare_TB_SoftGlow.M_Lensflare_TB_SoftGlow","49","20","20","1","9.528290","0","20"
"/Game/Assets/ParagonDekker/FX/Materials/Trails/M_Bullet_Trail.M_Bullet_Trail","49","19","19","1","11.010493","0","19"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","49","104","116","1","55.645012","0","116"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","254","264","6","0.000000","0","264"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","32","32","1","11.973346","0","32"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","1.200269","0","7"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","158","168","6","0.000000","0","168"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","49","7","7","1","4.777547","0","7"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","6","6","1","2.067407","0","6"
